artist,title,sales_price,sold_dummy,low_estimate,high_estimate,signiture,height,width,created,medium,auction_lot,auction_date,auction_location
Liang Guan,STILL LIFE,240190,1,25620,51240,Signed,28,33,NA,Oil / Paperboard,1001,2019/3/31,0
Liang Guan,COMPOSITION,1252180,1,256200,512400,NA,54.6,64.3,1948,Oil / Canvas,1002,2019/3/31,0
Liang Guan,BAO CHENG SHIMEN CAVE,1282920,1,384300,640500,NA,79.5,58,1950s,Oil / Canvas,1006,2019/3/31,0
Liang Guan,SWINEHERD,224180,1,64050,102480,NA,32.2,39.2,1960s,Oil / Canvas,1007,2019/3/31,0
Guanzhong Wu,LOTUS FLOWERS (I),16752020,1,1921500,3202500,Signed and Dated,120.5,90.5,1974,Oil / Canvas,1008,2019/3/31,0
Guanzhong Wu,SPRING TO THE NORTH,3250540,1,1921500,3202500,Signed and Dated,93,60.4,1996,Oil / Canvas,1009,2019/3/31,0
Pierre Auguste Renoir,JEUNE FILLE SE PEIGNANT (LA COIFFURE),2635660,1,1537200,2562000,Signed Lower Left,57.2,47,c.  1896,Oil / Canvas,1010,2019/3/31,0
Leonard Tsuguharu Foujita,"FEMME AU CHAT, PORTRAIT DE GHITA",2712520,1,448350,704550,Signed and Dated,72.8,60,1926,Oil / Canvas,1011,2019/3/31,0
Leonard Tsuguharu Foujita,GIRL WITH WINE,1175320,1,512400,768600,Signed and Dated,46.4,27.2,1955,Oil / Canvas,1012,2019/3/31,0
Bernard Buffet,CLOWN,944740,1,448350,704550,Signed and Dated,115.5,81.5,1968,Oil / Canvas,1013,2019/3/31,0
Yen-Yung Ting,SEATED LADY,NA,0,768600,1281000,Signed Monogram,91.2,60.7,c.  1970s,Oil / Canvas,1014,2019/3/31,0
Yen-Yung Ting,FLOWERS IN A URN / COMPOSITION II (DOUBLE-SIDED),NA,0,320250,576450,Signed and Dated,46,30.5,1965,Oil / Masonite,1015,2019/3/31,0
Yuliang Pan,BOUQUET DE CHRYSANTHÈMES ROSES,512400,1,230580,486780,Signed and Dated,46,55,1944,Oil / Canvas,1021,2019/3/31,0
Dayu Wu,FLOURISHING,1329040,1,871080,1281000,NA,46.2,34,c.  1970s,Oil / Canvas,1022,2019/3/31,0
Gee Yun,"TANAKA MEMORIAL, JAPANESE IMPERIALIST DREAM",1252180,1,640500,1024800,Signed and Dated,121,102,1932,Oil / Wood,1023,2019/3/31,0
Gee Yun,RIGHT ROUTE TO FREEDOM,2174500,1,1024800,1537200,Signed,94,101.5,1947,Oil / Canvas,1024,2019/3/31,0
Gee Yun,ADAM AND EVE,867880,1,256200,384300,NA,80.6,64.8,NA,Oil / Canvas,1025,2019/3/31,0
Wou-Ki Zao,UNTITLED,14855240,1,7686000,10248000,Signed and Dated,114.3,162.6,1958,Oil / Canvas,1026,2019/3/31,0
Wou-Ki Zao,VILLAGE DE MONTAGNE SE DISPERSENT,2328220,1,1921500,3202500,Signed and Dated,73,92,1954,Oil / Canvas,1027,2019/3/31,0
Wou-Ki Zao,17.12.60,7559950,1,5124000,7686000,Signed and Dated,160.5,130,1960,Oil / Canvas,1028,2019/3/31,0
Wou-Ki Zao,15.02.65,13104370,1,8967000,12810000,Signed and Dated,97,195,1965,Oil / Canvas,1029,2019/3/31,0
Wou-Ki Zao,19.01.61,10186260,1,7686000,10248000,Signed and Dated,113.6,161.9,1961,Oil / Canvas,1030,2019/3/31,0
Wou-Ki Zao,10.01.86,8289480,1,3202500,4483500,Signed and Dated,195,130,1986,Oil / Canvas,1031,2019/3/31,0
Pang Jiun,A THOUSAND SAILS ON THE SPRING TIDE,791020,1,448350,768600,Signed and Dated,200,750,2018,Oil / Canvas,1033,2019/3/31,0
Georges Mathieu,LA PASSION RETROUVÉE,480380,1,153720,358680,Signed and Dated,97,162,1976,Oil / Canvas,1034,2019/3/31,0
Chin Hsiao,INNER LIGHT,272210,1,102480,204960,Signed and Dated,102,133,1966,Acrylic / Canvas,1036,2019/3/31,0
Enrico Castellani,SUPERFICIE BIANCA,256200,1,192150,358680,Signed and Dated,100,100,1985,Acrylic on shaped canvas,1037,2019/3/31,0
Lalan,LA LUNE EST VOILÉE,867880,1,192150,384300,Signed and Dated,130,195,1974,Oil / Canvas,1038,2019/3/31,0
Sophie Chang,LEANING BEAUTY,416330,1,128100,256200,Signed and Dated,90,250,2018,Oil / Canvas,1039,2019/3/31,0
Sophie Chang,SAMANTABHADRA,160130,1,38430,64050,Signed and Dated,72.5,91,2018,Oil / Canvas,1040,2019/3/31,0
Pham Hau,NINE CARPS IN THE WATER (IN FOUR PARTS),883250,1,256200,384300,Signed,180,198,c. 1939-40,Lacquer on wood panel,1103,2019/3/31,0
Adrien Jean Le Mayeur de Merpres,TWO WOMEN SHADED BY AN UMBRELLA,1175320,1,512400,768600,Signed,75,90.5,NA,Oil / Canvas,1104,2019/3/31,0
Adrien Jean Le Mayeur de Merpres,FESTIVAL,1252180,1,640500,896700,Signed,90.5,120.5,NA,Oil / Canvas,1105,2019/3/31,0
Adrien Jean Le Mayeur de Merpres,LE TABLEAU CHINOIS,1329040,1,384300,640500,Signed,76,91,NA,Oil / Canvas,1106,2019/3/31,0
Romualdo Battista Federico Locatelli,PORTRAIT OF A GIRL,668040,1,192150,320250,Signed and Dated,88,58,1939,Oil / Canvas,1107,2019/3/31,0
Manfong Lee,DOVES,1636480,1,384300,640500,Signed,122,244,NA,Oil / Masonite,1108,2019/3/31,0
Manfong Lee,BALI LIFE (ESTIMATE UPON REQUEST),3711700,1,NA,NA,Signed,81.5,182,NA,Oil / Masonite,1109,2019/3/31,0
Kusama Affandi,BARONG,384300,1,230580,358680,Signed and Dated,100.5,160,1980,Oil / Canvas,1110,2019/3/31,0
Kusama Affandi,SELF PORTRAIT,256200,1,230580,358680,Signed and Dated,127.5,96.5,1977,Oil / Canvas,1111,2019/3/31,0
Hendra Gunawan,WOMEN AND CHILDREN BY THE BEACH (ESTIMATE UPON REQUEST),1405900,1,NA,NA,Signed,139,194.5,NA,Oil on canvas mounted on wood panel / Canvas,1112,2019/3/31,0
Soo Pieng Cheong,ABSTRACT 1963,NA,0,153720,230580,Signed and Dated,64.5,84.5,1963,Oil / Board,1113,2019/3/31,0
Ronald Ventura,BANG,320250,1,256200,384300,Signed and Dated,182.5,152,2017,Oil / Canvas,1116,2019/3/31,0
Inyoman Masriadi,I HAVE BALL,272210,1,204960,358680,Signed and Dated,300,200,2016,Acrylic / Canvas,1117,2019/3/31,0
Walasse Ting,PORTRAIT OF A WOMAN,6730,1,3843,6410,Stamped,51,70.5,NA,Acrylic / Paper,201,2019/4/1,0
Walasse Ting,THREE WOMEN,16010,1,12810,19220,Stamped,177,96,NA,Acrylic / Paper,203,2019/4/1,0
Raduan Man,A KISS GOODNIGHT,4803,1,5120,7690,Signed and Dated,203,203,2018,Oil / Canvas,207,2019/4/1,0
Rafiee Ghani,THE THIEF'S GARDEN HAS NO BUTTERFLIES,12010,1,8970,11530,Signed and Dated,214,183,2018,Oil / Canvas,208,2019/4/1,0
Arin Dwihartanto Sunaryo,VOLCANIC ASH SERIES #5,38430,1,23060,32030,Signed and Dated,173,146,2012,Merapi volcanic ash and pigmented resin mounted on wooden panel,211,2019/4/1,0
Suzlee Ibrahim,MIDNIGHT SUMMERS NO.1,9610,1,8970,11530,Signed and Dated,152,182,2017-18,Oil and acrylic / Canvas,214,2019/4/1,0
Jigger Cruz,COUNTERBALANCE,41630,1,17930,30740,Signed and Dated,106,146,2013,Oil / Canvas,215,2019/4/1,0
Walasse Ting,VENUS UNDER GOLDEN RAIN,76860,1,61490,87110,Signed and Dated,145,212,1969,Acrylic / Canvas,216,2019/4/1,0
Rafiee Ghani,CHASING THE WAVES,NA,0,7690,11530,Signed and Dated,182.5,122,2016,Oil / Canvas,217,2019/4/1,0
Marina Cruz,WHEN WE WERE TEN YEARS OLD �?ELISA AND LAURA (DIPTYCH),60850,1,20500,32030,Signed and Dated,NA,NA,2012,Oil / Canvas,218,2019/4/1,0
Niti Wattuya,SELF PORTRAIT BLUE,640,1,3330,5760,Signed and Dated,80,70,2005,Acrylic / Canvas,221,2019/4/1,0
Ismail Alwi,TREE OF LIFE,4803,1,5120,7690,Signed and Dated,152,121.5,2018,Oil and acrylic / Canvas,222,2019/4/1,0
Thaweesak Srithongdee,LING,320,1,2562,5120,NA,90,60,NA,Acrylic / Canvas,223,2019/4/1,0
Jigger Cruz,UNTITLED,30420,1,8970,11530,NA,122,122,NA,Oil / Canvas,225,2019/4/1,0
Agus Triyanto,TIME TRAVELER,19220,1,7690,11530,Signed and Dated,160,220,2018,Oil / Canvas,227,2019/4/1,0
Rolando Ventura,CAPTAIN AMERICA,27220,1,11530,19220,Signed and Dated,152,214,2015,Acrylic / Canvas,228,2019/4/1,0
S Dwi Setyo,GREEN HOUSE,11210,1,5760,8330,Signed and Dated,180,180,2019,Oil / Canvas,231,2019/4/1,0
Galam Zulkifli,UNTITLED,NA,0,2562,3843,Signed and Dated,200,140,2004,Acrylic / Canvas,232,2019/4/1,0
Mariam Sofrina,JALAN MERDEKA,16010,1,4483,7050,Signed and Dated,80,135,2010,Oil / Canvas,233,2019/4/1,0
M Irfan,LAST TRAIN WITH COLOUR,NA,0,10250,15370,Signed and Dated,200,300,2016,Acrylic / Canvas,235,2019/4/1,0
Ronald Ventura,UNTITLED (BEAR),32030,1,20500,32030,Signed and Dated,40,30,2015,Oil / Canvas,238,2019/4/1,0
Ahmad Zakii Anwar,UNTITLED II,6410,1,5120,7690,Signed and Dated,67,200,2004,Acrylic / Canvas,240,2019/4/1,0
Gywe U Lun,WATERFALL AND LADIES,NA,0,10250,15370,Signed,41,50,NA,Acrylic / Board,243,2019/4/1,0
Zaw Aung,MONK AND HELPER,2401,1,1921,2562,Signed and Dated,131,74,2003,Oil / Canvas,245,2019/4/1,0
Wae Aung Min,WOMEN AND CHILDREN,9610,1,7690,11530,Signed and Dated,100,128,1995,Acrylic / Canvas,246,2019/4/1,0
Gywe U Lun,SEASHORE,13610,1,10250,19220,Signed and Dated,75.5,107,1995,Acrylic / Canvas,247,2019/4/1,0
Saw Maung,TENDING BUFFALOES,NA,0,19220,25620,Signed and Dated,50,61,1965,Oil / Board,248,2019/4/1,0
Ngwe Gaing,GREAT SHWEDAGON PAGODA,41630,1,33310,48680,Signed and Dated,61,51,1962,Oil / Canvas,250,2019/4/1,0
U San Win,SHWEDAGON PAGODA,16010,1,15370,23060,Signed,32.5,48,NA,Oil / Canvas,251,2019/4/1,0
U San Win,GATEWAY TO MANDALAY,28820,1,23060,32030,Signed and Dated,30,43,1963,Oil / Canvas,252,2019/4/1,0
U Ba Thet,SUNSET AT THE RIVER,NA,0,8970,11530,Signed,30,40,NA,Oil / Canvas on board,253,2019/4/1,0
Harry Aung,SWEET SIXTEEN,NA,0,3843,6410,Signed,71.5,56,NA,Oil / Canvas,255,2019/4/1,0
Ngwe Gaing,"MAUNG MAGAN BEACH, SOUTH OF MYANMAR, DAWEI",17610,1,12810,19220,Signed,46,61,NA,Oil / Board,256,2019/4/1,0
U Thein Nyunt,FISHING BOAT,NA,0,6410,8970,Signed and Dated,53,71,1972,Oil / Canvas,257,2019/4/1,0
Min Lu,SHWEDAGON II,NA,0,2562,3843,Signed and Dated,76.5,91.5,2001,Oil / Canvas,258,2019/4/1,0
Zaw Min,ENTRANCE OF MYATHEINTAN,2882,1,2562,3843,Signed and Dated,92,122,2001,Acrylic / Canvas,259,2019/4/1,0
Moat Thone,BUDDHA AND BODHI TREE 1,5120,1,3202,4483,Signed and Dated,180,151.5,2005,Oil / Canvas,260,2019/4/1,0
Zaw Win Pe,MOUNTAIN,NA,0,3202,4483,Signed and Dated,46,61,2002,Oil / Canvas,261,2019/4/1,0
Chan Su Nyein,LANDSCAPE,NA,0,2562,3843,Signed and Dated,91.5,121.5,2002,Acrylic / Canvas,262,2019/4/1,0
Khine Ba,KAUNGHMUDAW,NA,0,2562,3843,Signed and Dated,123.5,93,2002,Oil / Canvas,263,2019/4/1,0
Vu Cao Dam,JEUNE FILLE À LA ROBE BLEU (GIRL IN THE BLUE DRESS),15210,1,7690,11530,Signed,41,27,NA,Oil on wood panel,267,2019/4/1,0
Vu Cao Dam,DIVINITY,14410,1,5120,7690,Signed and Dated,33,24,1979,Oil / Canvas,268,2019/4/1,0
Vu Cao Dam,LE RETOUR (THE RETURN),72060,1,23060,35870,Signed and Dated,92.5,73.5,1964,Oil / Canvas,269,2019/4/1,0
Le Pho,IN THE GARDEN,67250,1,28180,44840,Signed,86.5,69.5,NA,Oil and silk laid on board,270,2019/4/1,0
Le Pho,FEMMES DANS UN JARDIN (WOMEN IN A GARDEN),60850,1,38430,64050,Signed,90,116.5,NA,Oil / Canvas,271,2019/4/1,0
Le Pho,LE BAIGNADE (THE BATHING),80060,1,35870,70460,Signed,97.5,130,NA,Oil / Canvas,272,2019/4/1,0
Le Pho,UNE NATURE MORTE AUX FLEURS (A STILL LIFE WITH FLOWERS),16010,1,7690,10250,Signed,46.5,33.5,NA,Oil / Canvas,273,2019/4/1,0
Le Pho,DELPHINIUMS,96080,1,35870,70460,Signed,97.5,130.5,NA,Oil / Canvas,274,2019/4/1,0
Van Ha Tran,STORK AND BAMBOO,8010,1,7690,11530,Signed,61,122.5,NA,Lacquer / Wood,279,2019/4/1,0
Truong Van Thanh,GOLDFISH,22420,1,7690,11530,Signed and Dated,60,100,1953,Lacquer / Board,281,2019/4/1,0
Alix Ayme,FEMMES DANS LA FORÊT (WOMEN IN THE FOREST),152120,1,30740,44840,Signed,150,200,NA,Lacquer / Wood,286,2019/4/1,0
Van Tho Tran,FESTIVAL DAY,NA,0,7690,11530,Signed,49.5,69,c. 1950's,Lacquer / Wood,288,2019/4/1,0
Alix Ayme,LISEUSE À CÔTÉ DE L'ANNAMITE (GIRL READING NEXT TO THE ANNAMITE MOUNTAINS),32030,1,20500,33310,Signed,46,70,c. 1930-40,Lacquer on wood panel,289,2019/4/1,0
Henri Mege,COUNTRY LANDSCAPE NEAR HUE,15210,1,11530,15370,Signed,60.5,73,c. 1950,Oil / Canvas,290,2019/4/1,0
Pham Hau,WATER POND IN A VIETNAMESE VILLAGE SCENE,25620,1,15370,23060,Stamped,46,23.5,c. 1939-40's,Lacquer and gold powder pigment on wooden box,292,2019/4/1,0
Pham Hau,L'ENTRÉE DU VILLAGE (THE GATE OF THE VILLAGE),76860,1,30740,48680,Signed,121.5,54,NA,Lacquer / Wood,295,2019/4/1,0
Nam Nguyen,STILL LIFE,112090,1,12810,19220,Signed,40.5,52,1922,Oil / Canvas,299,2019/4/1,0
Vu Cao Dam,MATERNITÉ (MATERNITY),44840,1,17930,32030,Signed and Dated,55,38.5,1957,Oil / Panel,307,2019/4/1,0
Le Pho,LE VIEUX PÊCHER (THE OLD PEACH TREE),432340,1,76860,115290,Signed,140,70,1956,Oil / Canvas,308,2019/4/1,0
Le Pho,CUEILLIR DES FLEURS (PICKING FLOWERS),112090,1,38430,64050,Signed,114.5,146.5,NA,Oil / Canvas,309,2019/4/1,0
Le Pho,LA TÉTÉE PASTORALE (PASTORAL FEEDING),128100,1,44840,70460,Signed,98,131,NA,Oil / Canvas,310,2019/4/1,0
Joseph Inguimberty,LES TROIS CITRONS (THE THREE LEMONS),80060,1,17930,32030,Signed,60,73,NA,Oil / Canvas,311,2019/4/1,0
Le Pho,LES ROSES TRÉMIÈRES ET DAHLIAS,32030,1,12810,19220,Signed,46,26.5,NA,Oil on silk laid on board,312,2019/4/1,0
Le Pho,LES PAVOTS (POPPIES),51240,1,20500,32030,Signed,92,65.5,NA,Oil / Canvas,313,2019/4/1,0
Henri Mege,MATIN DE JUILLIET À FOURNEY (SAVOIE) VALLÉE DU BOURGET (JULY MORNING AT FOURNEY (SAVOIE) BOURGET VALLEY),2401,1,2562,3843,Signed and Dated,24,33,1959,Oil / Board,314,2019/4/1,0
Henri Mege,PAYSAGE (LANDSCAPE),3522,1,2562,3843,Signed,25.5,35.5,NA,Oil on wood panel,315,2019/4/1,0
Joseph Inguimberty,PAYSAGE EUROPÉEN (EUROPEAN LANDSCAPE),12010,1,7690,11530,Signed,65,100,NA,Oil / Canvas,317,2019/4/1,0
Joseph Inguimberty,WORKERS IN THE RICE FIELD,20820,1,6410,8970,Signed,54.5,45.5,NA,Oil / Canvas,318,2019/4/1,0
Nguyen TriMinh,LES JONQUES DE PÊCHE (FISHING JUNKS),NA,0,5120,7690,Signed and Dated,40,73,1966,Oil / Canvas,319,2019/4/1,0
Truong Thi Thinh,"MEMORY OF HUE, LANDSCAPE WITH A LOTUS POND",6410,1,5120,7690,Signed,51,98.5,c. 1960-70,Oil / Canvas,320,2019/4/1,0
Nam Nguyen,SUNSET ON TR?M MOUNTAIN (SÀI SON),60850,1,12810,19220,Signed,65,80,1943,Oil / Canvas,321,2019/4/1,0
Nguyen TriMinh,MARKET SCENE UNDER THE GREAT BANYAN,4003,1,3843,6410,Signed,29.5,39.5,NA,Oil / Board,322,2019/4/1,0
Henri Mege,"(I) EVENING AT THANH DA NEAR THI NGHE, SAIGON (II) AFTERNOON IN THE RIVER OF PERFUME, HUE (III) LANDSCAPE OF ANNAM (3)",NA,0,5120,7690,Signed and Dated,NA,NA,1953,Oil / Board,323,2019/4/1,0
Tran Binh Loc,A GARDEN SCENE OF A TEMPLE,88070,1,15370,23060,Signed and Dated,65,100,1936,Oil / Canvas,325,2019/4/1,0
Tran Van Giau,MARKET SCENE OF SAIGON IN THE 1960'S,4803,1,1921,3202,Signed,33.5,43.5,c. 1960's,Oil / Board,329,2019/4/1,0
Tran Van Giau,COUNTRY SCENE WITH A VILLAGE BRIDGE,1601,1,1921,3202,Signed,34,43,c. 1960's,Oil / Board,330,2019/4/1,0
Louis Jules Dumoulin,SCENE OF A TRADITIONAL CHINESE TOWN,6410,1,1921,3202,NA,63.5,47.5,NA,Oil / Board,331,2019/4/1,0
Louis Jules Dumoulin,A JAPANESE LADY DESCENDING STAIRS,16010,1,1921,3202,NA,65,50,c. 1890's,Oil / Canvas,332,2019/4/1,0
Xuan Phai Bui,(I) TOWN SCENE (II) BUILDINGS WITH RICKSHAW (2),9610,1,5760,7050,Signed,NA,NA,NA,Oil / Board,333,2019/4/1,0
Xuan Phai Bui,(I) NUDE (II) AN ARTIST PAINTING A NUDE FIGURE (2),12810,1,3843,5120,NA,NA,NA,NA,Paper,334,2019/4/1,0
Liu Kang,LAKE IN CHINA,24020,1,19220,25620,Signed and Dated,70,53,1975,Oil / Canvas,343,2019/4/1,0
Soo Pieng Cheong,PADI FIELDS,44840,1,23060,35870,Signed and Dated,35,43,1954,Oil on canvas mounted on card,345,2019/4/1,0
Ng Eng Teng,THE OLD AND NEW DRESS OF THE MALAYSIAN LADY,4803,1,5120,7690,Signed and Dated,87,50.5,1960,Oil / Canvas,346,2019/4/1,0
Nang Lim,"(I) MALAY WOMAN SITTING, HEAD IN HAND (II) MALAY WOMAN SITTING, STRAW HAT UNDER LEFT ARM (pair)",NA,0,2562,3843,Signed and Dated,NA,NA,NA,Copper,347,2019/4/1,0
Yu Chian Chia,TIN MINE,25620,1,15370,23060,Signed and Dated,60.5,91,1958,Oil / Board,348,2019/4/1,0
Wee Shoo Leong,URN WITH FRUITS,4803,1,5120,7690,Signed and Dated,57.5,68.5,1991,Oil / Canvas,349,2019/4/1,0
Choo Keng Kwang,PEACE,10410,1,5120,7690,Signed and Dated,90,120,1994,Oil / Canvas,350,2019/4/1,0
Tay Bak Koi,GOLDEN HARMONY,80060,1,23060,32030,Signed,139,191,1999,Oil / Canvas,351,2019/4/1,0
Choh Tan,ROADSIDE STALL,10410,1,3843,6410,Signed and Dated,53,72.5,1991,Oil / Canvas,352,2019/4/1,0
Tay Bak Koi,SINGAPORE FISHING VILLAGE,9610,1,7690,11530,Signed and Dated,59,84.5,1965,Oil / Canvas,353,2019/4/1,0
Fernando Cueto Amorsolo,FISHERMAN BOAT AT SUNSET,25620,1,20500,32030,Signed and Dated,25,40.5,1956,Oil / Canvas on board,361,2019/4/1,0
Fernando Cueto Amorsolo,IN THE FIELD,25620,1,17930,28180,Signed and Dated,22,30,1955,Oil / Canvas on board,362,2019/4/1,0
Fernando Cueto Amorsolo,WOMAN WITH BASKET AND FRUITS,304240,1,25620,38430,Signed and Dated,43,33,1936,Oil / Canvas on board,363,2019/4/1,0
Mauro Malang Santos,NUDE,56040,1,8970,11530,Signed and Dated,102,76.5,1977,Acrylic on wood panel,364,2019/4/1,0
Federico Aguilar Alcuaz,Untitled,NA,0,6410,8970,Signed and Dated,35,27,1981,Oil / Board,366,2019/4/1,0
Dato Fatimah,STANDING FORMS,9610,1,7690,11530,Signed and Dated,120,100,2016,Acrylic / Canvas,367,2019/4/1,0
Soo Pieng Cheong,PROGRESS,64050,1,57650,87110,Signed and Dated,84,84,1976,Oil / Canvas,369,2019/4/1,0
Theo Meier,PORTRAIT OF LEIAD,NA,0,8970,11530,Signed and Dated,72,58,1978,Oil / Canvas,370,2019/4/1,0
Roland Strasser,BALI GIRL WITH FRUITS,16010,1,17930,28180,Signed,75,55,NA,Oil / Canvas,371,2019/4/1,0
Theo Meier,YOUNG BALINESE WOMAN HOLDING A JUG ON HER HEAD,28820,1,15370,23060,Signed,70.5,60.5,NA,Oil / Canvas,372,2019/4/1,0
Arie Smit,RED TEMPLE IN BALI,240190,1,64050,89670,Signed and Dated,89,69,1980,Acrylic / Canvas,373,2019/4/1,0
Arie Smit,PASSING THE TEMPLE,8810,1,5120,7690,Signed and Dated,30,36,2002,Acrylic / Canvas,374,2019/4/1,0
Arie Smit,RED TEMPLE PAINTED IN SANUR,9610,1,8970,11530,Signed and Dated,33.5,43,1983,Acrylic / Board,376,2019/4/1,0
Saraochim Salim,ETANG (POND),NA,0,5120,7690,Signed and Dated,55,46,1974,Oil / Canvas,379,2019/4/1,0
Mochtar Apin,HOUSES,14410,1,7050,9610,Signed and Dated,50,66,1959,Oil / Canvas,380,2019/4/1,0
Fajar Siddik,UNTITLED,9610,1,5120,7690,Signed and Dated,107,77,1974,Oil / Canvas,381,2019/4/1,0
Abdul Djalil Pirous,Untitled,6410,1,5120,7690,Signed and Dated,79,99,1969,Oil / Canvas,382,2019/4/1,0
Popo Iskandar,LANDSCAPE,NA,0,5120,7690,Signed and Dated,95,100,1974,Oil / Canvas,383,2019/4/1,0
Popo Iskandar,JALA-JALA PANTAI (SHORE FISHING NET),9610,1,7050,9610,Signed and Dated,98,92.5,1972,Oil / Canvas,386,2019/4/1,0
Zaini,UNTITLED,4803,1,3843,6410,Signed and Dated,95,65,1976,Oil / Canvas,387,2019/4/1,0
Abdul Djalil Pirous,LEMBAH TAMAN SARI,5120,1,4099,7050,Signed and Dated,54,50.5,1968,Oil / Board,389,2019/4/1,0
But Mochtar,TWO WOMEN,44840,1,33310,57650,Signed and Dated,137.5,44.5,1963,Oil / Canvas,390,2019/4/1,0
Jeihan Sukmantara,SUTI,3202,1,2562,5120,Signed and Dated,150,140,2005,Oil / Canvas,391,2019/4/1,0
Mochtar Apin,HABITANT DE SUMATRA ORIENTAL SUR UNE CHAISE (INHABITANT OF EAST SUMATRA ON A CHAIR),7210,1,3843,6410,Signed and Dated,38.5,20.5,1951,Oil / Board,392,2019/4/1,0
Shrihadi Soedarsono,BEDHOYO KETAWANG - SPIRITUAL DIALOGUE,51240,1,17930,28180,Signed and Dated,90,62,2005,Oil / Canvas,393,2019/4/1,0
I Nyoman Gunarsa,PENARI (DANCER),5600,1,5120,7690,NA,145,145.5,1996,Oil / Canvas,394,2019/4/1,0
Rusli,FESTIVAL,8010,1,6410,8970,Signed and Dated,60,75,1976,Oil / Canvas,395,2019/4/1,0
Djoko Pekek,SAVING MONEY,NA,0,5120,7690,Signed and Dated,97,79.5,1995,Oil / Canvas,396,2019/4/1,0
Arifien Neif,"JEMBATAN RIALTO, VENESIA (RIALTO BRIDGE, VENICE)",9610,1,3843,6410,Signed and Dated,60,70,1998,Oil / Canvas,397,2019/4/1,0
Sudjana Kerton,HARVEST,256200,1,70460,96080,Signed and Dated,69,133.5,1983,Oil / Canvas,398,2019/4/1,0
Shrihadi Soedarsono,BEDHOYO KETAWANG,30420,1,15370,23060,Signed and Dated,70,53,1999,Oil / Canvas,399,2019/4/1,0
Shrihadi Soedarsono,BOROBODUR - STATE OF MEDITATION,56040,1,35870,44840,Signed and Dated,81,100,2007,Oil / Canvas,400,2019/4/1,0
Shrihadi Soedarsono,JANGER: GELORA REMAJA,80060,1,64050,89670,Signed and Dated,145,180,2001,Oil / Canvas,401,2019/4/1,0
Haji Widayat,GOING HOME,8810,1,5120,7690,Signed and Dated,38.5,49.5,1976,Oil / Canvas,402,2019/4/1,0
Rusli,TEMPLE SCENE,14410,1,11530,19220,Signed and Dated,100,129.5,1964,Oil / Canvas,403,2019/4/1,0
Kusama Affandi,MARKET SCENE,88070,1,38430,51240,Signed and Dated,72.5,98,1947,Oil on canvas mounted on wood,405,2019/4/1,0
Anton Huang,UNTITLED,67250,1,7690,11530,Signed and Dated,101,101,1982,Oil / Canvas,406,2019/4/1,0
Haji Widayat,BURUNG PHOENIX,960,1,2562,3843,Signed and Titled,50,59.5,NA,Oil / Board,407,2019/4/1,0
Kusama Affandi,DUCK HUNTER,96080,1,64050,89670,Signed and Dated,163,121,1975,Oil / Canvas,408,2019/4/1,0
Kusama Affandi,PENGHALAU BURUNG (SCARECROW),144110,1,102480,192150,Signed and Dated,99,179.5,1969,Oil / Canvas,409,2019/4/1,0
Kusama Affandi,PERAHU KUSAMBA,88070,1,102480,153720,Signed and Dated,114.5,140,1981,Oil / Canvas,410,2019/4/1,0
Hendra Gunawan,BY THE BEACH,480380,1,153720,281820,Signed and Dated,86,147,1976,Oil / Canvas,411,2019/4/1,0
Hendra Gunawan,WOMAN IN THE MARKET,192150,1,115290,192150,Signed and Dated,170,115,1974,Oil / Canvas,412,2019/4/1,0
Shrihadi Soedarsono,DANCER,NA,0,35870,48680,Signed and Dated,130,97.5,1990,Oil / Canvas,413,2019/4/1,0
Shrihadi Soedarsono,THREE DANCERS,51240,1,40990,66610,Signed and Dated,138,96,1966,Oil / Canvas,415,2019/4/1,0
Sudjana Kerton,THE VASE,32030,1,12810,19220,Signed and Dated,59.5,50,1990,Oil / Canvas,416,2019/4/1,0
Sindudarsono Sudjojono,ANEKA BUNGA ASTER DI POT KERAMIK (VARIOUS DAISIES IN A CERAMIC POT),60850,1,25620,38430,Signed and Dated,80,80,1967,Oil / Canvas,417,2019/4/1,0
Kusama Affandi,FIGHTING COCKS,NA,0,89670,115290,Signed and Dated,98,125,1976,Oil / Canvas,418,2019/4/1,0
Kusama Affandi,DOGS FIGHTING,112090,1,89670,115290,Signed and Dated,108,138,1965,Oil / Canvas,419,2019/4/1,0
Hendra Gunawan,FISHERMAN,416330,1,256200,384300,NA,135.5,200,NA,Oil / Canvas,420,2019/4/1,0
Hendra Gunawan,MASK DANCER,96080,1,76860,102480,Signed and Dated,145.5,71,1980,Oil / Canvas,421,2019/4/1,0
Manfong Lee,MAN AND BOY WITH COCKEREL,112090,1,51240,76860,Signed and Dated,101.5,60.5,1946,Oil on jute mounted on board,422,2019/4/1,0
Manfong Lee,TELANJANG DUDUK (SEATED NUDE),NA,0,76860,115290,Signed,122,60,NA,Oil / Masonite,423,2019/4/1,0
Tomoo Gokita,REACH OUT FOR ME,35230,1,10250,19220,Signed and Dated,41,32,2007,Acrylic and gouache / Paper,502,2019/4/1,0
Tomoo Gokita,MRS. DRUNKO,168130,1,76860,102480,Signed and Dated,161,130,2006,Acrylic and gouache / Canvas,503,2019/4/1,0
Tomoo Gokita,DRUNK WOMAN,160130,1,64050,89670,Signed and Dated,100,100,2015,Acrylic and goauche / Canvas,504,2019/4/1,0
