,x,y,z,canvas,oil,acrylic,board,paper,lacquer,masonite,panel,ink,wood
403,Acrylic / Canvas,acrylic  canvas,acrylic  canvas,1,0,1,0,0,0,0,0,0,0
404,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
405,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
406,Chromogenic prints and hand-drawn marker pen,chromogenic prints and handdrawn marker pen,chromogenic prints  hdrawn marker pen,0,0,0,0,0,0,0,0,0,0
407,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
408,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
409,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
410,Acrylic / Canvas,acrylic  canvas,acrylic  canvas,1,0,1,0,0,0,0,0,0,0
411,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
412,Acrylic / Canvas,acrylic  canvas,acrylic  canvas,1,0,1,0,0,0,0,0,0,0
413,Acrylic and gouache / Linen,acrylic and gouache  linen,acrylic  gouache  linen,0,0,1,0,0,0,0,0,0,0
414,Acrylic / Canvas,acrylic  canvas,acrylic  canvas,1,0,1,0,0,0,0,0,0,0
415,Oil and spray paint / Canvas,oil and spray paint  canvas,oil  spray paint  canvas,1,1,0,0,0,0,0,0,0,0
416,Acrylic / Canvas,acrylic  canvas,acrylic  canvas,1,0,1,0,0,0,0,0,0,0
417,Oil and acrylic / Linen,oil and acrylic  linen,oil  acrylic  linen,0,1,1,0,0,0,0,0,0,0
418,Acrylic / Canvas,acrylic  canvas,acrylic  canvas,1,0,1,0,0,0,0,0,0,0
419,Acrylic / Canvas,acrylic  canvas,acrylic  canvas,1,0,1,0,0,0,0,0,0,0
420,Acrylic and oil / Canvas,acrylic and oil  canvas,acrylic  oil  canvas,1,1,1,0,0,0,0,0,0,0
421,Acrylic / Canvas,acrylic  canvas,acrylic  canvas,1,0,1,0,0,0,0,0,0,0
422,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
423,Oil / Board,oil  board,oil  board,0,1,0,1,0,0,0,0,0,0
424,"Acrylic, inkjet and oil crayon / Canvas",acrylic inkjet and oil crayon  canvas,acrylic inkjet  oil crayon  canvas,1,1,1,0,0,0,0,0,1,0
425,Oil / Linen,oil  linen,oil  linen,0,1,0,0,0,0,0,0,0,0
426,Oil / Linen,oil  linen,oil  linen,0,1,0,0,0,0,0,0,0,0
427,Acrylic and silkscreen ink / Linen,acrylic and silkscreen ink  linen,acrylic  silkscreen ink  linen,0,0,1,0,0,0,0,0,1,0
428,Oil and pencil / Cotton,oil and pencil  cotton,oil  pencil  cotton,0,1,0,0,0,0,0,0,0,0
429,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
430,Glue and mineral pigment / Linen,glue and mineral pigment  linen,glue  mineral pigment  linen,0,0,0,0,0,0,0,0,0,0
431,Oil / Aluminum,oil  aluminum,oil  aluminum,0,1,0,0,0,0,0,0,0,0
432,Acrylic and oil / Canvas,acrylic and oil  canvas,acrylic  oil  canvas,1,1,1,0,0,0,0,0,0,0
433,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
434,Acrylic / Canvas on board,acrylic  canvas on board,acrylic  canvas board,1,0,1,1,0,0,0,0,0,0
435,Acrylic / Paper,acrylic  paper,acrylic  paper,0,0,1,0,1,0,0,0,0,0
436,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
