"x"
"Oil / Paperboard"
"Oil / Canvas"
"Oil / Canvas"
"Oil / Canvas"
"Oil / Canvas"
"Oil / Canvas"
"Oil / Canvas"
"Oil / Canvas"
"Oil / Canvas"
"Oil / Canvas"
"Oil / Canvas"
"Oil / Canvas"
"Oil / Wood"
"Oil / Canvas"
"Oil / Canvas"
"Oil / Canvas"
"Oil / Canvas"
"Oil / Canvas"
"Oil / Canvas"
"Oil / Canvas"
"Oil / Canvas"
"Oil / Canvas"
"Oil / Canvas"
"Acrylic / Canvas"
"Acrylic on shaped canvas"
"Oil / Canvas"
"Oil / Canvas"
"Oil / Canvas"
"Lacquer on wood panel"
"Oil / Canvas"
"Oil / Canvas"
"Oil / Canvas"
"Oil / Canvas"
"Oil / Masonite"
"Oil / Masonite"
"Oil / Canvas"
"Oil / Canvas"
"Oil on canvas mounted on wood panel / Canvas"
"Oil / Canvas"
"Acrylic / Canvas"
"Acrylic / Paper"
"Acrylic / Paper"
"Oil / Canvas"
"Oil / Canvas"
"Merapi volcanic ash and pigmented resin mounted on wooden panel"
"Oil and acrylic / Canvas"
"Oil / Canvas"
"Acrylic / Canvas"
"Oil / Canvas"
"Acrylic / Canvas"
"Oil and acrylic / Canvas"
"Acrylic / Canvas"
"Oil / Canvas"
"Oil / Canvas"
"Acrylic / Canvas"
"Oil / Canvas"
"Oil / Canvas"
"Oil / Canvas"
"Acrylic / Canvas"
"Oil / Canvas"
"Acrylic / Canvas"
"Acrylic / Canvas"
"Oil / Canvas"
"Oil / Canvas"
"Oil / Canvas"
"Oil / Board"
"Acrylic / Canvas"
"Oil / Canvas"
"Oil on wood panel"
"Oil / Canvas"
"Oil / Canvas"
"Oil and silk laid on board"
"Oil / Canvas"
"Oil / Canvas"
"Oil / Canvas"
"Oil / Canvas"
"Lacquer / Wood"
"Lacquer / Board"
"Lacquer / Wood"
"Lacquer on wood panel"
"Oil / Canvas"
"Lacquer and gold powder pigment on wooden box"
"Lacquer / Wood"
"Oil / Canvas"
"Oil / Panel"
"Oil / Canvas"
"Oil / Canvas"
"Oil / Canvas"
"Oil / Canvas"
"Oil on silk laid on board"
"Oil / Canvas"
"Oil / Board"
"Oil on wood panel"
"Oil / Canvas"
"Oil / Canvas"
"Oil / Canvas"
"Oil / Canvas"
"Oil / Board"
"Oil / Canvas"
"Oil / Board"
"Oil / Board"
"Oil / Board"
"Oil / Canvas"
"Oil / Board"
"Paper"
"Oil / Canvas"
"Oil on canvas mounted on card"
"Oil / Canvas"
"Oil / Board"
"Oil / Canvas"
"Oil / Canvas"
"Oil / Canvas"
"Oil / Canvas"
"Oil / Canvas"
"Oil / Canvas on board"
"Oil / Canvas on board"
"Oil / Canvas on board"
"Acrylic on wood panel"
"Acrylic / Canvas"
"Oil / Canvas"
"Oil / Canvas"
"Oil / Canvas"
"Acrylic / Canvas"
"Acrylic / Canvas"
"Acrylic / Board"
"Oil / Canvas"
"Oil / Canvas"
"Oil / Canvas"
"Oil / Canvas"
"Oil / Canvas"
"Oil / Board"
"Oil / Canvas"
"Oil / Canvas"
"Oil / Board"
"Oil / Canvas"
"Oil / Canvas"
"Oil / Canvas"
"Oil / Canvas"
"Oil / Canvas"
"Oil / Canvas"
"Oil / Canvas"
"Oil / Canvas"
"Oil / Canvas"
"Oil / Canvas"
"Oil on canvas mounted on wood"
"Oil / Canvas"
"Oil / Board"
"Oil / Canvas"
"Oil / Canvas"
"Oil / Canvas"
"Oil / Canvas"
"Oil / Canvas"
"Oil / Canvas"
"Oil / Canvas"
"Oil / Canvas"
"Oil / Canvas"
"Oil / Canvas"
"Oil / Canvas"
"Oil on jute mounted on board"
"Acrylic and gouache / Paper"
"Acrylic and gouache / Canvas"
"Acrylic and goauche / Canvas"
"Acrylic / Canvas"
"Acrylic and aerosol / Canvas"
"Acrylic and spray paint stencil / Canvas"
"Acrylic and spray paint stencil / Canvas"
"Colour spray paint on the shutter / Canvas"
"Acrylic and flashe / Canvas"
"Acrylic / Canvas"
"Gold leaf on canvas mounted on wood panel"
"Oil / Canvas"
"Acrylic / Canvas"
"Acrylic / Canvas"
"Acrylic / Canvas"
"Enamel / Paperboard"
"Acrylic / Paper"
"Acrylic / Paper"
"Acrylic / Canvas"
"Acrylic / Canvas"
